Year,Date,Region,Round,PTS,OT,Diff,Location,WinningTeam,WinningSeed,LosingTeam,LosingSeed
2017,"March 17, 2017",South,First Round,58,False,6,"Indianapolis, IN",Wichita State,10,Dayton,7
2017,"March 17, 2017",Midwest,First Round,91,False,1,"Indianapolis, IN",Michigan,7,Oklahoma State,10
2017,"March 17, 2017",East,First Round,73,False,20,"Greenville, SC",South Carolina,7,Marquette,10
2017,"March 17, 2017",South,First Round,70,False,9,"Indianapolis, IN",Kentucky,2,Northern Kentucky,15
2017,"March 17, 2017",East,First Round,73,False,18,"Tulsa, OK",Baylor,3,New Mexico State,14
2017,"March 17, 2017",Midwest,First Round,77,False,16,"Sacramento, CA",Oregon,3,Iona,14
2017,"March 17, 2017",South,First Round,71,False,6,"Greenville, SC",Arkansas,8,Seton Hall,9
2017,"March 16, 2017",West,First Round,46,False,20,"Salt Lake City, UT",Gonzaga,1,South Dakota State,16
2017,"March 16, 2017",Midwest,First Round,73,False,11,"Milwaukee, WI",Iowa State,5,Nevada,12
2017,"March 16, 2017",West,First Round,65,False,11,"Orlando, FL",Xavier,11,Maryland,6
2017,"March 16, 2017",Midwest,First Round,70,False,10,"Milwaukee, WI",Purdue,4,Vermont,13
2017,"March 16, 2017",West,First Round,80,False,6,"Buffalo, NY",West Virginia,4,Bucknell,13
2017,"March 16, 2017",West,First Round,77,False,8,"Salt Lake City, UT",Saint Mary's,7,VCU,10
2017,"March 16, 2017",West,First Round,66,False,2,"Salt Lake City, UT",Northwestern,8,Vanderbilt,9
2017,"March 16, 2017",East,First Round,65,False,15,"Orlando, FL",Florida,4,ETSU,13
2017,"March 16, 2017",West,First Round,58,False,2,"Buffalo, NY",Notre Dame,5,Princeton,12
2017,"March 16, 2017",South,First Round,72,False,9,"Milwaukee, WI",Middle Tennessee,12,Minnesota,5
2017,"March 16, 2017",South,First Round,64,False,12,"Milwaukee, WI",Butler,4,Winthrop,13
2017,"March 16, 2017",West,First Round,80,False,6,"Orlando, FL",Florida State,3,Florida Gulf Coast,14
2017,"March 16, 2017",East,First Round,71,False,5,"Orlando, FL",Virginia,5,UNC Wilmington,12
2017,"March 16, 2017",East,First Round,56,False,20,"Buffalo, NY",Villanova,1,Mount St. Mary's,16
2017,"March 16, 2017",West,First Round,82,False,18,"Salt Lake City, UT",Arizona,2,North Dakota,15
2017,"March 16, 2017",East,First Round,74,False,10,"Buffalo, NY",Wisconsin,8,Virginia Tech,9
2017,"March 15, 2017",East,First Four,71,False,4,"Dayton, OH",USC,11,Providence,11
2017,"March 15, 2017",Midwest,First Four,63,False,4,"Dayton, OH",UC-Davis,16,North Carolina Central,16
2017,"March 14, 2017",East,First Four,66,False,1,"Dayton, OH",Mount St. Mary's,16,New Orleans,16
2017,"March 14, 2017",South,First Four,88,False,7,"Dayton, OH",Kansas State,11,Wake Forest,11
2016,"April 4, 2016",National,National Final,74,False,3,"Houston, TX",Villanova,2,UNC,1
2016,"April 2, 2016",National,National Semifinal,66,False,17,"Houston, TX",UNC,1,Syracuse,10
