Team,g,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,Year
Gonzaga Bulldogs,33,40.8,26.1,55.8,0.468,18.9,36.6,0.516,7.2,19.2,0.376,18.0,24.9,0.724,11.9,25.5,37.4,15.8,6.6,3.5,14.4,18.8,77.5,2003
Cincinnati Bearcats,29,,23.0,57.0,0.404,16.2,37.2,0.435,6.8,19.8,0.344,14.6,21.1,0.69,12.6,22.9,35.5,12.3,5.2,4.3,10.6,19.2,67.4,2003
Illinois Fighting Illini,32,40.0,26.8,56.0,0.479,19.6,36.2,0.541,7.3,19.9,0.366,13.7,18.8,0.725,9.5,25.9,35.4,18.0,7.1,3.1,13.1,18.7,74.6,2003
Western Kentucky Hilltoppers,33,,26.1,56.5,0.461,18.4,35.5,0.518,7.7,21.1,0.364,13.8,21.0,0.66,12.5,23.5,35.9,14.3,7.1,3.6,15.1,18.4,73.6,2003
Kansas Jayhawks,38,,31.1,63.0,0.494,26.3,48.6,0.541,4.8,14.4,0.335,15.6,23.8,0.656,14.5,27.3,41.8,17.2,9.8,5.1,14.8,16.7,82.7,2003
Utah State Aggies,33,40.3,24.2,52.3,0.463,20.2,38.5,0.523,4.1,13.8,0.294,14.1,19.7,0.714,12.5,22.4,35.0,14.3,5.1,2.1,12.3,16.0,66.6,2003
Marquette Golden Eagles,33,,27.3,56.7,0.482,21.2,41.3,0.513,6.1,15.4,0.398,17.7,23.0,0.771,14.8,21.8,36.6,16.2,6.0,3.5,13.3,18.8,78.5,2003
Holy Cross Crusaders,31,,24.5,53.0,0.462,19.0,37.9,0.502,5.5,15.1,0.362,15.9,22.4,0.708,12.2,24.3,36.5,15.8,7.9,4.5,13.7,18.6,70.3,2003
Missouri Tigers,33,40.2,26.4,59.4,0.444,18.7,38.2,0.49,7.6,21.2,0.361,12.0,18.2,0.662,13.2,26.2,39.4,13.7,5.6,4.4,13.8,17.0,72.4,2003
Southern Illinois Salukis,31,40.3,27.3,58.1,0.47,21.2,42.2,0.502,6.2,15.9,0.387,13.6,19.5,0.7,10.8,22.3,33.2,13.9,7.9,3.1,12.5,19.4,74.4,2003
Notre Dame Fighting Irish,34,40.4,27.0,60.4,0.446,18.6,38.8,0.48,8.3,21.6,0.385,16.9,22.2,0.761,11.1,27.2,38.3,16.4,7.3,5.6,13.1,16.2,79.2,2003
Milwaukee Panthers,32,,27.3,58.0,0.471,19.6,36.3,0.541,7.7,21.7,0.354,14.8,21.3,0.693,11.6,22.8,34.4,16.9,8.8,3.6,14.8,20.3,77.1,2003
Oklahoma Sooners,34,40.4,25.1,56.2,0.446,17.7,37.5,0.473,7.4,18.8,0.392,12.8,18.5,0.693,12.2,24.6,36.8,14.2,7.0,3.6,12.1,18.2,70.4,2003
South Carolina State Bulldogs,31,,24.7,54.3,0.455,19.5,38.7,0.504,5.2,15.6,0.333,17.6,25.2,0.699,12.8,24.2,36.9,10.2,8.0,2.9,19.4,20.7,72.2,2003
Stanford Cardinal,33,40.2,25.8,58.3,0.442,18.8,38.7,0.486,7.0,19.6,0.356,13.9,20.5,0.678,13.6,25.2,38.8,14.6,5.4,3.5,14.2,18.7,72.5,2003
San Diego Toreros,30,40.3,25.5,54.2,0.47,18.5,35.7,0.518,7.0,18.5,0.379,17.5,26.3,0.665,11.8,26.4,38.2,16.5,5.4,3.4,17.9,20.1,75.5,2003
Tulsa Golden Hurricane,33,,26.6,57.1,0.465,20.0,39.2,0.51,6.6,17.9,0.367,13.7,18.8,0.73,11.1,25.9,37.0,14.8,7.3,4.8,14.2,17.1,73.4,2003
Dayton Flyers,30,,24.6,54.6,0.451,17.0,33.5,0.508,7.6,21.1,0.359,16.0,22.4,0.714,13.4,22.9,36.4,15.1,5.3,2.9,13.2,17.6,72.7,2003
Wisconsin Badgers,32,,24.9,53.8,0.463,18.7,36.3,0.515,6.3,17.6,0.357,14.2,19.3,0.732,10.2,22.5,32.7,13.2,6.9,2.8,10.4,14.9,70.3,2003
Weber State Wildcats,32,,25.0,53.4,0.468,19.1,35.4,0.539,5.9,18.0,0.328,18.6,25.5,0.731,10.8,22.9,33.7,14.2,6.6,0.8,12.6,18.8,74.5,2003
California Golden Bears,32,,26.1,57.8,0.452,20.3,39.2,0.517,5.8,18.6,0.314,14.2,20.9,0.677,11.4,22.6,34.0,15.2,7.9,4.1,13.2,,72.2,2002
Penn Quakers,32,,25.5,53.2,0.479,17.2,32.3,0.531,8.3,20.9,0.398,13.9,19.0,0.732,8.3,24.1,32.3,17.5,6.5,3.4,13.2,,73.2,2002
Cincinnati Bearcats,35,,27.6,59.2,0.467,21.7,42.7,0.507,6.0,16.5,0.362,17.0,24.0,0.709,13.2,26.7,39.9,13.7,4.8,4.4,11.9,,78.2,2002
Boston University Terriers,32,,23.4,55.2,0.423,17.0,37.5,0.454,6.3,17.7,0.358,14.0,20.3,0.688,12.3,25.2,37.5,12.5,6.0,2.6,13.0,,67.1,2002
UConn Huskies,34,,28.6,59.2,0.483,24.1,47.7,0.505,4.5,11.5,0.394,16.1,23.1,0.696,13.6,27.0,40.6,14.5,7.5,6.9,16.0,,77.8,2002
Hampton Pirates,33,,28.3,58.8,0.481,21.7,40.2,0.54,6.6,18.6,0.354,16.3,24.4,0.67,13.8,23.8,37.6,14.2,8.0,3.5,14.8,,79.5,2002
Creighton Bluejays,32,40.9,26.5,57.2,0.464,19.3,37.8,0.512,7.2,19.3,0.372,15.4,21.1,0.73,12.0,23.7,35.7,15.3,8.2,3.9,14.3,,75.7,2002
Florida Gators,31,,28.8,61.3,0.47,21.3,40.0,0.532,7.5,21.2,0.353,15.5,22.2,0.697,13.9,24.9,38.8,16.7,9.9,4.5,14.9,,80.5,2002
Georgia Bulldogs,32,40.3,27.2,60.8,0.447,21.3,42.5,0.502,5.9,18.4,0.321,16.0,21.8,0.737,14.6,23.7,38.3,15.5,8.8,3.6,14.2,,76.4,2002
Murray State Racers,32,,29.4,65.4,0.45,22.8,45.0,0.507,6.6,20.4,0.322,13.2,18.3,0.723,15.9,24.1,40.0,14.5,8.1,4.9,14.3,,78.6,2002
Illinois Fighting Illini,35,,25.9,55.2,0.47,18.7,35.4,0.527,7.3,19.8,0.367,18.2,24.6,0.74,11.2,24.9,36.1,16.9,7.4,4.0,14.6,,77.4,2002
San Diego State Aztecs,33,40.5,27.5,57.6,0.476,23.0,45.2,0.508,4.5,12.4,0.359,15.0,22.8,0.66,12.1,24.8,36.9,14.3,6.8,3.7,15.4,,74.4,2002
Maryland Terrapins,36,40.0,30.1,62.4,0.482,24.1,46.3,0.519,6.0,16.1,0.374,18.8,25.9,0.726,13.1,27.9,41.1,19.8,8.4,6.0,13.8,,85.0,2002
Siena Saints,36,41.1,23.7,56.8,0.417,16.8,36.7,0.456,6.9,20.1,0.346,15.6,20.9,0.744,11.2,26.6,37.8,12.9,5.5,4.1,15.3,,69.9,2002
Mississippi State Bulldogs,35,,26.9,56.1,0.48,21.5,40.4,0.531,5.5,15.7,0.348,14.4,22.1,0.653,13.1,25.8,38.8,16.2,8.4,3.5,16.7,,73.8,2002
McNeese State Cowboys,30,40.2,24.8,56.2,0.44,19.1,40.7,0.468,5.7,15.5,0.367,14.8,22.7,0.653,13.5,24.4,38.0,12.9,8.7,5.1,16.0,,70.1,2002
NC State Wolfpack,34,40.0,25.4,56.2,0.452,17.2,33.4,0.515,8.2,22.7,0.36,16.5,21.9,0.755,10.4,22.5,32.9,16.1,7.9,2.1,13.3,,75.4,2002
Michigan State Spartans,31,40.0,24.6,53.4,0.462,18.8,38.6,0.488,5.8,14.8,0.393,14.3,18.5,0.771,12.2,25.4,37.5,14.1,5.0,3.0,14.9,,69.4,2002
Oklahoma Sooners,36,40.4,28.1,63.4,0.443,21.5,44.6,0.482,6.6,18.7,0.35,15.3,19.9,0.767,15.1,24.9,40.0,14.4,9.0,3.7,11.9,,78.0,2002
UIC Flames,34,,25.4,57.4,0.441,18.0,39.2,0.458,7.4,18.2,0.405,15.5,23.6,0.658,12.4,22.3,34.7,13.6,5.7,1.4,12.8,,73.6,2002
Pitt Panthers,35,,26.5,56.4,0.47,20.2,36.9,0.548,6.3,19.5,0.323,13.0,21.5,0.605,13.3,25.2,38.4,16.9,6.7,4.5,14.2,,72.3,2002
Central Connecticut Blue Devils,32,,25.4,55.5,0.458,21.1,43.1,0.489,4.3,12.4,0.35,16.0,21.8,0.736,13.1,25.9,39.0,13.3,6.7,3.3,15.0,,71.3,2002
Southern Illinois Salukis,36,,27.1,58.8,0.461,21.0,42.1,0.499,6.1,16.7,0.366,15.1,24.4,0.619,13.4,25.4,38.8,15.2,7.3,4.8,13.7,,75.5,2002
Texas Tech Red Raiders,32,,29.1,62.5,0.466,24.5,50.3,0.487,4.6,12.1,0.376,16.4,24.0,0.682,13.1,25.3,38.4,18.4,7.6,4.2,12.4,,79.1,2002
Texas Longhorns,34,40.6,27.9,61.6,0.453,22.0,45.6,0.483,5.9,16.0,0.368,16.4,23.9,0.687,15.4,24.5,39.9,15.2,6.2,3.9,13.7,,78.1,2002
Boston College Eagles,32,,25.0,59.8,0.419,18.4,40.1,0.459,6.6,19.7,0.337,16.9,24.3,0.696,14.1,23.1,37.3,13.5,8.1,3.3,14.0,,73.6,2002
UCLA Bruins,33,40.3,27.3,57.9,0.472,20.6,40.6,0.507,6.8,17.3,0.39,13.6,19.7,0.692,11.9,24.7,36.6,14.4,5.5,2.8,15.0,,75.0,2002
Ole Miss Rebels,31,,24.0,52.2,0.46,16.5,32.3,0.51,7.6,19.9,0.38,16.4,22.2,0.738,10.8,22.5,33.3,13.8,7.3,1.8,15.4,,72.0,2002
Wisconsin Badgers,32,,22.8,52.3,0.436,16.3,33.8,0.481,6.6,18.5,0.356,14.7,20.5,0.719,10.3,22.0,32.3,12.7,5.9,1.9,12.9,,67.0,2002
St. John's (NY) Red Storm,32,40.5,24.5,61.0,0.401,20.2,45.9,0.439,4.3,15.1,0.287,17.0,25.3,0.67,15.6,22.1,37.7,11.5,10.1,3.8,15.1,,70.3,2002
Xavier Musketeers,32,40.2,24.3,54.1,0.449,18.1,36.9,0.492,6.2,17.3,0.357,17.7,24.5,0.721,12.2,25.0,37.1,12.5,6.7,4.5,13.6,,72.4,2002
Hawaii Rainbow Warriors,33,,24.8,55.1,0.45,17.5,35.9,0.487,7.3,19.2,0.38,14.8,21.7,0.684,10.2,23.2,33.4,16.5,7.0,3.5,12.3,,71.7,2002
Alabama Crimson Tide,35,,26.0,59.2,0.439,19.8,39.1,0.507,6.2,20.1,0.309,17.7,24.1,0.736,14.5,24.6,39.1,13.1,7.3,3.2,14.0,,75.9,2002
Florida Atlantic Owls,31,,27.7,64.9,0.427,22.0,47.9,0.459,5.7,17.0,0.338,13.1,19.7,0.666,16.3,22.8,39.1,15.6,9.5,3.5,15.3,,74.3,2002
Arizona Wildcats,34,,27.5,60.0,0.459,19.9,39.8,0.5,7.6,20.2,0.376,19.6,26.8,0.731,12.6,25.2,37.8,15.5,6.1,3.0,14.1,,82.1,2002
UCSB Gauchos,31,,22.4,49.8,0.449,15.9,33.7,0.471,6.5,16.1,0.403,15.5,20.5,0.756,9.7,25.1,34.8,14.6,5.5,2.8,13.6,,66.6,2002
Duke Blue Devils,35,,31.2,63.1,0.495,22.6,39.4,0.574,8.6,23.7,0.363,17.9,25.9,0.69,12.2,25.0,37.2,17.9,10.0,3.2,14.3,,88.9,2002
Winthrop Eagles,31,40.3,23.4,56.0,0.418,17.1,35.6,0.481,6.3,20.3,0.308,14.5,22.1,0.655,13.1,24.9,38.0,11.6,7.6,4.2,14.8,,67.5,2002
Indiana Hoosiers,37,,24.8,53.8,0.46,17.5,36.0,0.485,7.3,17.8,0.41,13.6,19.6,0.696,11.0,24.2,35.2,14.8,6.9,5.2,13.7,,70.5,2002
Utah Utes,30,,22.9,48.9,0.469,15.1,29.5,0.511,7.9,19.4,0.405,13.5,20.1,0.673,8.8,21.8,30.6,14.6,6.0,2.7,13.2,,67.3,2002
Kansas Jayhawks,37,,34.0,67.2,0.506,28.0,52.7,0.53,6.1,14.5,0.418,16.8,23.4,0.719,15.1,29.2,44.3,20.7,9.6,5.7,16.3,,90.9,2002
Holy Cross Crusaders,33,40.2,21.0,51.8,0.406,16.5,38.5,0.429,4.5,13.3,0.337,16.6,24.0,0.692,12.7,22.9,35.6,13.3,7.8,3.1,14.2,,63.1,2002
Kent State Golden Flashes,36,40.3,27.4,58.4,0.469,21.2,41.3,0.512,6.2,17.1,0.365,14.9,20.4,0.728,13.2,23.6,36.7,13.4,6.4,2.0,10.9,,75.9,2002
Oklahoma State Cowboys,32,,26.1,58.2,0.448,20.9,42.3,0.494,5.2,15.9,0.327,14.3,22.1,0.644,15.0,24.9,40.0,14.4,7.7,3.4,15.2,,71.7,2002
Kentucky Wildcats,32,,28.3,63.2,0.448,21.4,41.5,0.516,6.8,21.6,0.316,13.5,19.9,0.676,15.4,24.7,40.1,14.7,7.9,4.8,14.4,,76.9,2002
Valparaiso Beacons,33,40.2,27.1,60.3,0.449,18.7,36.5,0.513,8.3,23.8,0.35,15.2,22.8,0.667,13.6,24.1,37.6,17.3,10.1,4.1,13.2,,77.7,2002
Missouri Tigers,36,,28.6,62.6,0.458,19.6,39.4,0.497,9.1,23.2,0.391,13.6,19.7,0.69,14.9,24.4,39.3,15.0,7.3,4.3,14.2,,79.9,2002
Miami (FL) Hurricanes,32,40.6,25.6,59.4,0.43,18.2,38.1,0.478,7.4,21.4,0.345,16.3,21.2,0.771,12.1,24.6,36.7,16.4,8.9,5.9,14.4,,74.8,2002
UNC Wilmington Seahawks,33,40.3,23.8,54.6,0.435,17.1,36.7,0.465,6.7,17.9,0.373,13.7,19.8,0.689,11.3,23.1,34.4,13.7,8.3,3.2,12.2,,67.9,2002
USC Trojans,32,40.5,28.4,64.5,0.441,22.1,46.3,0.477,6.3,18.1,0.347,14.8,21.4,0.692,14.2,24.3,38.5,15.8,9.0,4.0,12.2,,77.9,2002
Notre Dame Fighting Irish,33,,28.3,61.7,0.459,20.9,42.2,0.495,7.4,19.5,0.379,14.8,20.9,0.709,13.2,27.7,40.9,19.1,7.8,4.9,13.2,,78.8,2002
Charlotte 49ers,30,40.2,25.4,57.7,0.44,17.1,35.1,0.488,8.2,22.5,0.365,14.5,20.5,0.708,12.6,25.3,37.9,13.9,6.8,2.4,13.6,,73.5,2002
Ohio State Buckeyes,32,,25.8,53.2,0.485,20.3,38.6,0.526,5.5,14.6,0.376,16.8,24.8,0.675,11.0,21.9,32.9,15.1,6.0,2.3,13.2,,73.8,2002
Davidson Wildcats,31,,25.0,57.4,0.436,17.0,34.6,0.491,8.0,22.7,0.353,12.6,18.5,0.681,11.9,26.6,38.5,15.6,6.8,3.7,15.7,,70.7,2002
Oregon Ducks,35,,29.0,59.5,0.487,20.3,38.9,0.522,8.7,20.6,0.422,18.9,24.6,0.769,11.0,25.6,36.6,16.6,7.5,3.3,13.8,,85.5,2002
Montana Grizzlies,31,40.0,24.5,53.9,0.455,17.6,34.6,0.509,6.9,19.2,0.357,15.6,23.3,0.673,9.9,23.9,33.8,14.6,5.3,3.9,15.0,,71.5,2002
Stanford Cardinal,30,40.5,27.4,60.8,0.451,20.5,40.5,0.506,6.9,20.3,0.34,19.0,27.1,0.7,14.9,26.9,41.8,16.0,5.1,4.3,13.6,,80.7,2002
Western Kentucky Hilltoppers,32,40.5,27.4,58.9,0.465,18.7,35.9,0.519,8.7,22.9,0.38,14.4,20.6,0.699,12.8,25.6,38.4,15.7,7.1,3.3,14.3,,77.8,2002
Tulsa Golden Hurricane,34,40.1,28.3,59.3,0.477,20.6,40.5,0.51,7.6,18.8,0.405,16.0,21.3,0.753,11.0,24.7,35.7,17.2,7.9,4.5,12.8,,80.2,2002
Marquette Golden Eagles,33,40.0,26.4,55.8,0.473,21.2,42.0,0.504,5.2,13.8,0.379,15.1,21.8,0.692,12.7,22.7,35.5,14.0,8.5,3.4,13.8,,73.1,2002
Wake Forest Demon Deacons,34,,29.4,61.6,0.478,22.4,42.3,0.529,7.1,19.3,0.366,16.1,21.8,0.738,12.9,25.6,38.5,16.3,6.5,4.1,14.6,,82.0,2002
Pepperdine Waves,31,40.8,29.2,64.2,0.455,21.7,43.7,0.497,7.5,20.5,0.367,15.3,21.3,0.717,13.2,24.7,37.9,14.4,7.4,5.1,14.5,,81.3,2002
Wyoming Cowboys,31,,25.6,56.3,0.456,21.4,42.1,0.508,4.3,14.2,0.3,19.4,27.8,0.698,12.7,27.5,40.2,13.5,6.8,4.4,14.5,,75.0,2002
Gonzaga Bulldogs,33,,27.5,58.5,0.47,20.3,40.2,0.506,7.2,18.4,0.391,19.0,25.9,0.732,12.9,28.6,41.5,15.8,5.7,3.4,13.9,,81.1,2002
