Team,g,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,Year
Winthrop Eagles,34,40.1,23.4,53.4,0.438,17.0,36.1,0.471,6.4,17.2,0.37,11.7,19.8,0.591,11.6,23.6,35.1,12.8,8.4,3.6,12.9,17.4,64.9,2008
West Virginia Mountaineers,37,40.5,26.6,58.6,0.453,19.4,38.5,0.504,7.1,20.1,0.355,14.6,21.1,0.689,12.2,23.8,36.0,15.4,6.9,5.1,11.2,19.2,74.8,2008
Arizona Wildcats,34,40.4,24.8,51.9,0.478,18.3,35.3,0.519,6.5,16.6,0.39,15.8,21.1,0.749,8.3,22.7,30.9,15.5,5.6,3.5,12.2,16.4,71.9,2008
Wisconsin Badgers,36,40.0,23.4,52.0,0.449,17.5,35.4,0.493,5.9,16.6,0.356,14.6,20.8,0.705,11.6,24.3,35.9,12.6,6.1,3.3,12.2,14.4,67.3,2008
Cal State Fullerton Titans,33,40.2,29.5,62.4,0.473,20.9,40.0,0.522,8.6,22.5,0.385,14.2,20.2,0.702,11.8,24.0,35.8,15.3,9.0,1.5,13.5,19.1,81.8,2008
Xavier Musketeers,37,40.1,25.3,53.3,0.474,17.7,33.8,0.522,7.6,19.5,0.391,16.9,22.6,0.749,11.1,24.6,35.7,15.2,5.6,3.4,13.0,17.4,75.1,2008
Georgia Bulldogs,34,,24.7,57.5,0.429,18.7,39.3,0.476,6.0,18.2,0.33,12.6,18.6,0.679,13.3,24.8,38.1,11.6,6.7,3.4,14.9,18.0,68.1,2008
Florida Gators,40,,28.1,53.5,0.526,20.7,35.3,0.587,7.4,18.2,0.409,16.2,23.4,0.69,11.2,26.4,37.6,15.4,6.7,4.9,14.1,15.7,79.8,2007
Jackson State Tigers,35,,25.1,60.2,0.417,19.5,42.5,0.46,5.5,17.7,0.313,15.4,21.7,0.711,13.4,22.3,35.7,13.4,8.3,3.1,15.3,20.7,71.1,2007
Kansas Jayhawks,38,40.4,29.1,59.0,0.494,23.0,43.6,0.528,6.1,15.4,0.396,14.1,21.3,0.66,12.8,26.9,39.7,17.1,9.2,6.5,14.2,18.9,78.4,2007
Niagara Purple Eagles,35,40.4,25.4,60.7,0.418,17.6,37.9,0.464,7.8,22.8,0.343,17.2,23.5,0.731,14.8,23.6,38.3,13.3,6.4,1.6,13.5,17.5,75.8,2007
Kentucky Wildcats,34,,26.2,54.9,0.476,19.4,35.8,0.541,6.8,19.1,0.355,14.3,20.3,0.703,10.9,25.4,36.3,15.8,5.9,4.7,14.5,16.1,73.4,2007
Villanova Wildcats,33,40.0,23.5,55.4,0.424,16.0,34.0,0.469,7.5,21.3,0.352,18.0,23.1,0.781,13.3,23.0,36.2,12.7,8.1,3.2,13.6,19.5,72.5,2007
Memphis Tigers,37,40.1,27.7,60.8,0.455,20.2,39.4,0.512,7.5,21.4,0.351,16.0,25.8,0.621,14.9,24.8,39.7,14.5,9.3,5.9,13.3,19.8,78.9,2007
North Texas Mean Green,34,40.7,27.2,59.7,0.456,20.6,41.8,0.493,6.6,17.9,0.37,15.9,24.1,0.657,14.2,25.6,39.9,12.6,6.6,4.4,15.8,20.3,77.0,2007
Nevada Wolf Pack,34,40.4,27.9,57.7,0.484,20.5,39.4,0.52,7.4,18.3,0.406,14.1,18.7,0.756,11.7,26.5,38.2,16.7,5.4,4.4,13.3,16.8,77.4,2007
Creighton Bluejays,33,,22.4,50.4,0.445,16.2,32.0,0.507,6.2,18.4,0.338,16.2,21.5,0.754,10.3,22.4,32.7,13.4,6.4,2.5,12.6,16.7,67.3,2007
UNLV Rebels,37,,26.5,59.5,0.445,18.6,37.8,0.493,7.8,21.7,0.36,14.2,19.8,0.716,12.4,22.5,34.9,14.8,7.8,5.3,11.1,18.1,74.9,2007
Georgia Tech Yellow Jackets,32,,29.2,59.7,0.49,22.9,42.8,0.536,6.3,16.9,0.372,13.9,20.4,0.681,13.9,22.5,36.4,15.3,9.9,3.6,15.7,20.8,78.6,2007
Oregon Ducks,37,40.3,26.0,57.6,0.452,16.6,33.4,0.497,9.5,24.2,0.39,14.4,18.9,0.761,11.7,22.7,34.4,13.9,6.9,2.0,12.5,16.4,75.9,2007
Miami (OH) RedHawks,33,,21.8,47.4,0.46,16.7,32.0,0.521,5.1,15.4,0.333,10.7,15.1,0.709,7.9,22.4,30.2,12.8,5.7,4.1,13.2,17.0,59.5,2007
Purdue Boilermakers,34,40.0,24.8,53.9,0.46,18.4,35.9,0.511,6.4,18.1,0.357,13.9,20.4,0.678,11.4,21.6,33.0,13.7,7.9,2.6,14.0,19.8,69.9,2007
Arizona Wildcats,31,40.3,27.3,57.1,0.478,21.7,40.8,0.533,5.5,16.3,0.341,17.8,23.8,0.75,12.3,25.1,37.4,16.5,6.1,3.3,13.8,13.7,78.0,2007
USC Trojans,37,,25.6,53.7,0.476,20.0,39.6,0.504,5.6,14.1,0.396,15.1,21.1,0.715,9.4,25.1,34.5,12.8,5.6,4.0,14.6,17.8,71.8,2007
Arkansas Razorbacks,35,40.1,25.2,54.6,0.461,19.1,37.1,0.516,6.1,17.5,0.346,14.7,20.9,0.703,11.2,24.0,35.2,14.9,6.9,6.3,15.2,17.5,71.1,2007
Southern Illinois Salukis,36,,21.2,47.3,0.448,14.9,30.3,0.494,6.2,17.0,0.366,14.4,20.8,0.693,9.6,20.3,29.9,11.5,6.6,3.2,14.0,20.2,62.9,2007
Holy Cross Crusaders,34,,21.7,49.9,0.435,16.1,33.9,0.475,5.6,16.0,0.351,14.8,20.2,0.734,11.4,20.7,32.1,13.6,9.5,3.6,15.3,18.3,63.9,2007
Tennessee Volunteers,35,40.4,28.0,62.5,0.448,18.7,36.9,0.506,9.3,25.6,0.365,15.5,23.7,0.653,13.5,22.3,35.8,15.6,9.6,3.1,14.2,20.1,80.9,2007
Long Beach State 49ers,32,40.0,28.3,62.3,0.454,19.8,39.6,0.5,8.5,22.8,0.375,15.3,21.8,0.702,12.8,23.8,36.6,14.2,7.4,2.8,13.9,17.5,80.5,2007
Texas Longhorns,35,41.1,27.5,61.8,0.445,18.7,39.2,0.477,8.8,22.6,0.389,17.9,24.3,0.736,13.8,26.0,39.7,13.7,7.5,5.6,12.4,17.5,81.7,2007
New Mexico State Aggies,34,40.1,26.6,55.6,0.479,20.8,40.5,0.513,5.9,15.1,0.388,18.9,28.7,0.657,13.5,24.3,37.8,13.9,7.1,2.8,16.9,20.5,78.0,2007
Virginia Cavaliers,32,40.2,25.4,58.1,0.437,17.3,36.1,0.481,8.0,22.1,0.364,18.2,24.5,0.742,13.2,25.8,39.0,12.9,4.7,3.2,13.7,20.1,77.0,2007
Albany (NY) Great Danes,33,40.3,24.2,53.4,0.453,17.3,35.0,0.494,6.9,18.4,0.374,12.7,17.5,0.722,11.0,22.7,33.7,13.2,5.8,2.5,13.2,19.2,67.9,2007
Virginia Tech Hokies,34,40.4,26.1,55.7,0.468,21.3,42.5,0.5,4.8,13.2,0.363,14.5,22.0,0.66,10.8,22.5,33.3,13.2,8.4,4.7,10.9,18.2,71.4,2007
Illinois Fighting Illini,35,,22.6,52.3,0.432,15.7,32.5,0.482,6.9,19.7,0.349,12.1,19.4,0.624,12.5,22.7,35.2,13.9,5.9,2.8,14.0,17.3,64.1,2007
Winthrop Eagles,34,40.1,27.1,56.9,0.477,19.0,34.2,0.555,8.2,22.7,0.36,12.4,19.9,0.624,12.4,25.2,37.6,16.7,7.9,3.7,13.1,17.2,74.9,2007
Notre Dame Fighting Irish,32,,27.2,59.2,0.459,18.2,36.2,0.503,9.0,23.0,0.39,17.7,23.8,0.743,12.7,25.8,38.4,17.3,8.5,3.4,12.9,18.2,81.0,2007
Wisconsin Badgers,36,40.1,24.1,52.4,0.46,18.3,35.8,0.51,5.8,16.6,0.352,16.2,23.6,0.688,11.2,23.7,34.9,13.7,5.8,3.2,11.3,15.3,70.2,2007
Texas A&M-Corpus Christi Islanders,33,,27.6,52.9,0.522,21.8,38.5,0.567,5.8,14.5,0.402,18.2,25.7,0.707,11.3,24.2,35.5,18.0,7.8,2.9,16.3,19.1,79.2,2007
